CaO+MgO,Fe2O3*,MgO,CaO,S,Zn,Pb,Cu,Type de roche
0.000137438,9.54E-07,5.74E-05,8.03E-05,0.000764914,0.000116283,1.92E-05,5.49E-06,R. carbonat̩es
0.000137438,4.56E-07,5.74E-05,8.03E-05,0.000306179,0.000116283,7.72E-05,2.91E-06,R. carbonat̩es
0.000137438,9.54E-07,5.74E-05,8.03E-05,0.000764914,0.000116283,7.72E-05,2.91E-06,R. carbonat̩es
0.000137438,4.56E-07,5.74E-05,8.03E-05,0.000764914,0.000116283,1.92E-05,5.49E-06,R. carbonat̩es
0.000137438,1.91E-07,5.74E-05,8.03E-05,0.000306179,6.15E-06,1.92E-05,5.49E-06,R. carbonat̩es
0.000137438,9.54E-07,5.74E-05,8.03E-05,0.002259728,1.40E-05,1.92E-05,1.37E-05,R. carbonat̩es
0.000137438,1.91E-07,5.74E-05,8.03E-05,0.000306179,6.15E-06,1.92E-05,2.91E-06,R. carbonat̩es
0.000137438,9.54E-07,5.74E-05,8.03E-05,0.002259728,0.000116283,1.92E-05,2.91E-06,R. carbonat̩es
0.000137438,1.91E-07,5.74E-05,8.03E-05,0.000306179,1.40E-05,1.92E-05,2.91E-06,R. carbonat̩es
0.000137438,4.56E-07,5.74E-05,8.03E-05,0.002259728,0.000116283,7.72E-05,1.37E-05,R. carbonat̩es
0.000137438,1.91E-07,5.74E-05,8.03E-05,0.000306179,6.15E-06,1.92E-05,5.49E-06,R. carbonat̩es
0.000137438,9.54E-07,5.74E-05,8.03E-05,0.002259728,0.000116283,1.92E-05,2.91E-06,R. carbonat̩es
0.000137438,1.91E-07,5.74E-05,8.03E-05,0.000306179,0.000116283,1.92E-05,2.91E-06,R. carbonat̩es
0.000137438,4.56E-07,5.74E-05,7.10E-05,0.000306179,0.000116283,1.92E-05,5.49E-06,R. carbonat̩es
0.000137438,1.91E-07,5.74E-05,8.03E-05,0.000306179,1.40E-05,1.92E-05,5.49E-06,R. carbonat̩es
0.000137438,1.91E-07,5.74E-05,8.03E-05,0.000306179,6.15E-06,1.92E-05,5.49E-06,R. carbonat̩es
0.000137438,4.56E-07,5.05E-05,8.03E-05,0.000764914,1.40E-05,1.92E-05,1.37E-05,R. carbonat̩es
0.000123539,4.56E-07,5.05E-05,8.03E-05,0.000306179,0.000116283,1.92E-05,5.49E-06,R. carbonat̩es
0.000123539,1.91E-07,5.05E-05,7.10E-05,0.000306179,1.40E-05,1.92E-05,2.91E-06,R. carbonat̩es
0.000123539,1.91E-07,5.74E-05,7.10E-05,0.000764914,1.40E-05,1.92E-05,5.49E-06,R. carbonat̩es
0.000123539,9.54E-07,5.05E-05,7.10E-05,0.000764914,0.000116283,1.92E-05,2.91E-06,R. carbonat̩es
0.000123539,4.56E-07,5.05E-05,7.10E-05,0.000764914,1.40E-05,1.92E-05,1.37E-05,R. carbonat̩es
0.000123539,9.54E-07,5.74E-05,7.10E-05,0.002259728,6.15E-06,1.92E-05,5.49E-06,R. carbonat̩es
0.000123539,4.56E-07,5.05E-05,7.10E-05,0.000306179,6.15E-06,1.92E-05,2.91E-06,R. carbonat̩es
0.000123539,9.54E-07,5.05E-05,7.10E-05,0.002259728,0.000116283,1.92E-05,5.49E-06,R. carbonat̩es
0.000123539,9.54E-07,5.05E-05,7.10E-05,0.002259728,1.40E-05,1.92E-05,1.37E-05,R. carbonat̩es
0.000123539,4.56E-07,5.05E-05,7.10E-05,0.000764914,0.000116283,7.72E-05,5.49E-06,R. carbonat̩es
0.000123539,4.56E-07,5.05E-05,7.10E-05,0.000764914,6.15E-06,1.92E-05,5.49E-06,R. carbonat̩es
0.000123539,9.54E-07,5.05E-05,7.10E-05,0.002259728,6.15E-06,1.92E-05,2.91E-06,R. carbonat̩es
0.000123539,4.56E-07,5.05E-05,7.10E-05,0.000764914,0.000116283,7.72E-05,2.91E-06,R. carbonat̩es
0.000123539,4.56E-07,5.05E-05,7.10E-05,0.002259728,6.15E-06,1.92E-05,5.49E-06,R. carbonat̩es
0.000123539,4.56E-07,5.05E-05,7.10E-05,0.002259728,1.40E-05,1.92E-05,1.37E-05,R. carbonat̩es
0.000123539,9.54E-07,5.74E-05,8.03E-05,0.000764914,1.40E-05,7.72E-05,1.37E-05,R. carbonat̩es
0.000123539,9.54E-07,5.05E-05,7.10E-05,0.000764914,6.15E-06,1.92E-05,2.91E-06,R. carbonat̩es
0.000123539,1.91E-07,5.05E-05,7.10E-05,0.000764914,0.000116283,1.92E-05,5.49E-06,R. carbonat̩es
0.000123539,1.91E-07,5.05E-05,7.10E-05,0.000764914,0.000116283,1.92E-05,5.49E-06,R. carbonat̩es
0.000123539,4.56E-07,5.05E-05,7.10E-05,0.000306179,6.15E-06,1.92E-05,2.91E-06,R. carbonat̩es
0.000123539,9.54E-07,5.05E-05,7.10E-05,0.002259728,6.15E-06,1.92E-05,1.37E-05,R. carbonat̩es
0.000123539,4.56E-07,5.05E-05,7.10E-05,0.000764914,6.15E-06,1.92E-05,5.49E-06,R. carbonat̩es
0.000123539,9.54E-07,5.05E-05,7.10E-05,0.002259728,0.000116283,7.72E-05,1.37E-05,R. carbonat̩es
0.000123539,4.56E-07,5.05E-05,7.10E-05,0.002259728,1.40E-05,1.92E-05,1.37E-05,R. carbonat̩es
0.000123539,4.56E-07,5.05E-05,7.10E-05,0.002259728,6.15E-06,1.92E-05,1.37E-05,R. carbonat̩es
0.000123539,4.56E-07,5.05E-05,7.10E-05,0.000764914,6.15E-06,1.92E-05,2.91E-06,R. carbonat̩es
0.000137438,9.54E-07,5.05E-05,7.10E-05,0.002259728,6.15E-06,1.92E-05,1.37E-05,R. carbonat̩es
0.000137438,9.54E-07,5.74E-05,8.03E-05,0.002259728,6.15E-06,1.92E-05,5.49E-06,R. carbonat̩es
0.000137438,9.54E-07,5.74E-05,8.03E-05,0.000764914,0.000116283,1.92E-05,5.49E-06,R. carbonat̩es
0.000111237,6.59E-06,4.51E-05,6.62E-05,0.044837383,1.68E-05,3.43E-05,5.07E-06,Pyrite
0.000130943,4.18E-06,5.34E-05,7.57E-05,0.026574703,5.08E-05,3.43E-05,5.07E-06,Pyrite
0.00012797,4.18E-06,5.53E-05,7.43E-05,0.026574703,1.68E-05,3.43E-05,8.03E-06,Pyrite
0.000111237,1.40E-05,4.51E-05,6.62E-05,0.066786071,2.44E-05,6.14E-05,0.000292194,Pyrite
7.62E-05,9.87E-06,2.12E-05,5.50E-05,0.016358638,3.86E-05,6.71E-06,0.019159883,Chalcopyrites
8.31E-05,2.77E-05,2.36E-05,5.95E-05,0.050148611,3.79E-05,6.71E-06,0.018306388,Chalcopyrites
0.000121718,3.28E-06,5.09E-05,7.08E-05,0.026288521,0.022335053,0.023898959,6.44E-05,Gal̬ne
7.41E-05,6.17E-05,2.99E-05,4.42E-05,0.486877864,0.022335053,0.023898959,6.44E-05,Gal̬ne
7.41E-05,3.28E-06,2.99E-05,4.42E-05,0.026288521,0.065263057,0.167069582,0.000491511,Gal̬ne
0.00012328,1.24E-06,5.15E-05,7.18E-05,0.003461952,0.006843509,1.63E-05,1.09E-05,Spahlerite
0.000131814,1.24E-06,5.53E-05,7.66E-05,0.003461952,0.006843509,1.63E-05,1.09E-05,Spahlerite
0.00012328,3.16E-06,5.15E-05,7.18E-05,0.021138258,0.021425633,0.007547562,3.99E-05,Spahlerite
8.17E-06,2.78E-05,6.24E-06,1.93E-06,0.011681143,5.45E-05,2.38E-05,0.000144576,S̩diments terrig̬nes
8.17E-06,2.22E-06,1.98E-05,5.55E-07,0.011681143,5.45E-05,5.74E-05,0.000144576,S̩diments terrig̬nes
3.66E-06,6.89E-06,2.87E-06,5.55E-07,0.011681143,5.45E-05,3.42E-05,0.000610487,S̩diments terrig̬nes
3.66E-06,2.78E-05,6.24E-06,5.55E-07,0.066165213,0.000139786,5.74E-05,0.000144576,S̩diments terrig̬nes
8.17E-06,6.89E-06,2.87E-06,1.93E-06,0.066165213,3.19E-05,2.38E-05,1.01E-05,S̩diments terrig̬nes
4.04E-05,6.89E-06,1.98E-05,2.09E-05,0.001195476,0.000139786,3.42E-05,1.01E-05,S̩diments terrig̬nes
3.66E-06,2.22E-06,2.87E-06,1.93E-06,0.001195476,3.19E-05,2.38E-05,1.01E-05,S̩diments terrig̬nes
3.66E-06,2.22E-06,2.87E-06,5.55E-07,0.001195476,3.19E-05,2.38E-05,0.000610487,S̩diments terrig̬nes
4.04E-05,2.22E-06,6.24E-06,2.09E-05,0.001195476,3.19E-05,3.42E-05,1.01E-05,S̩diments terrig̬nes
0.000137438,4.56E-07,5.74E-05,8.03E-05,0.002259728,0.000116283,1.92E-05,1.37E-05,R. carbonat̩es
